zgh_verbe	en_meaning
ⴰⵖⴷ	Be straight, stand up straight
ⴰⵖⵓⵍ	become
ⴰⵖⵓⵍ	come back
ⴰⵖⵓⵍ	reconcile
ⴰⵙ	coincide
ⴰⵙ	come
ⴰⵙ	suit
ⴰⵙⵉ	take
ⴰⵙⵉ	take charge
ⴰⵙⵉ	wear, transport, take away
ⴰⵙⵎ	be jealous, jealous, envy
ⴰⵙⵓ	to cough
ⴰⵙⵓⵙ	be shaken, agitated
ⴰⵙⵓⵙ	fall (fruit)
ⴰⵙⵓⵙ	to lose weight
ⴰⵙⵔ	lose weight, consumer
ⴰⵙⵖ	attach
ⴰⵙⵙ	be dark
ⴰⵙⵙ	tie
ⴰⵙⵜⵡⴰ	be well done
ⴰⵙⵜⵡⴰ	take place comfortably
ⴰⵛⴹ	to hate
ⴰⵛⵛⴽⴽⴰ	complaint, complain
ⴰⵜⴳ	lean
ⴰⵜⴳ	rest your head on the pillow
ⴰⵜⴳ	stall, support
ⴰⵜⵎ	Clean, sweep
ⴰⵜⵜⵓⵢ	be up to
ⴰⵡⴷ	gently treat
ⴰⵡⴷ	keep
ⴰⵡⴹ	arrive at
ⴰⵡⴹ	reach
ⴰⵡⴼ	be struck with terror
ⴰⵡⴽ	pull
ⴰⵡⵉ	Assimilate (neo. Gram.)
ⴰⵡⵉ	bring, bring
ⴰⵡⵉ	marry
ⴰⵡⵉ	take
ⴰⵡⵍ	marry, get married
ⴰⵡⵍ	start
ⴰⵡⵏ	climb, climb a climb
ⴰⵡⵔ	be certain
ⴰⵡⵖ	Stop
ⴰⵡⵖ	grazing, grazing, boiling
ⴰⵡⵙ	to help
ⴰⵡⵜ	prepare
ⴰⵡⵣ	watch
ⴰⵢⵍⵍ	fly, fly away
ⴰⵢⵙ	go with wolf
ⴰⵢⵡⵓⵍ	float
ⴰⵢⵣ	Crush, grind
ⴰⵣⴻⵣ	Melt on its prey (bird)
ⴰⵣⵏ	hurry
ⴰⵣⵏ	send, ship
ⴰⵣⵓⴼ	to come down
ⴰⵣⵔ	to participate
ⴰⵣⵣⵍ	to flow
ⴰⵣⵣⵍ	to run
ⴰⵣⵣⵓⵔ	be valid
ⴰⵣⵣⵖ	be dry
ⴰⵣⵣⵖ	go dry
ⴰⵥ	get down, move forward
ⴰⵥ	to be close
ⴰⵥⴹ	Tender (Main)
ⴰⵥⴼ	exclaim
ⴰⵥⵎ	blame, criticize
ⴰⵥⵓ	be enclosed
ⴰⵥⵓ	enclose
ⴰⵥⵓⵎ	fast
ⴰⵥⵕ	torture
ⴱⴰⴱⴱⴰ	back on the back
ⴱⴰⴱⵔ	Cover, be wrapped
ⴱⴰⴷⵔ	to watch
ⴱⴰⴹ	order, to be able, to have authority on
ⴱⴰⴹ	own, hold in hand, have good in hand
ⴱⴰⴹⵛ	Agree, gesticulate (baby)
ⴱⴰⵀⵔ	argue
ⴱⴰⵀⵔ	to scold
ⴱⴰⵍⴰⴽ	leave
ⴱⴰⵔⴰ	be wide open
ⴱⴰⵔⴽ	bless
ⴱⴰⵙⴰ	be incarcerated (for a long time or perpetuity)
ⴱⴰⵙⵍ	be annoying
ⴱⴰⵙⵍ	be bland
ⴱⴰⵙⵍ	be unpleasant
ⴱⴰⵢⵍⴰⵍⴰ	wake up with a start, start, be surprised
ⴱⴱⴰⵇⵇⵉ	explode
ⴱⴱⴽ	crush, pound
ⴱⴱⴽ	squeeze
ⴱⴱⴽ	to hit
ⴱⴱⵉ	Cut, tear, tear yourself away
ⴱⴱⵉ	to cross
ⴱⴱⵉ	to stop
ⴱⴱⵉⴹⴻⴹ	passionate
ⴱⴱⵊ	grind, crush
ⴱⴱⵓⵀⵍⵍⵓ	be stupid, lack intelligence
ⴱⴱⵓⵃ	be kind
ⴱⴱⵓⵃ	be nice
ⴱⴱⵔ	Place promptly and without order or care
ⴱⴱⵕⴱⵕ	boil
ⴱⴱⵖ	be mistaken
ⴱⴱⵖ	stab
ⴱⴱⵖ	to bite
ⴱⴱⵥ	plunge
ⴱⴱⵥ	sink
ⴱⴱⵥ	squeeze
ⴱⴱⵥ	stab
ⴱⴱⵥ	to crush
ⴱⴳⵓ	be pierced
ⴱⴳⵓ	pierce
ⴱⴷⴰ	Start, outline
ⴱⴷⴷ	stand up, get up,
ⴱⴷⴷ	stop
ⴱⴷⵄ	Start
ⴱⴷⵓ	Start, start, start, outline
ⴱⴷⵔ	evoke, quote, mention
ⴱⴹⵉ	Fendiller, be split
ⴱⴹⵉ	hatch
ⴱⴹⵉ	unravel, be pierced, die, be punctured
ⴱⴹⵓ	Share, divide, be shared
ⴱⴹⵓ	distribute
ⴱⴹⵓ	to separate
ⴱⴽⴽⴹ	be spoiled, pampered, pampered
ⴱⴽⴽⴻⴽ	sit
ⴱⴽⴽⵙ	swallow
ⴱⵀⴹ	be scared
ⴱⵀⴹ	to be surprised
ⴱⵀⵀⴳ	Watch with astonishment, look with admiration
ⴱⵀⵀⴳ	to go for a walk
ⴱⵃⴱⵃ	be a hole
ⴱⵃⵃⵔ	Garden, cultivate a vegetable patch
ⴱⵃⵃⵕ	navigate
ⴱⵄⴽⴻⴽ	differ, delay
ⴱⵄⴽⴻⴽ	to be undecided, to hesitate
ⴱⵄⵊ	castrate (an animal)
ⴱⵄⵊ	ride
ⴱⵅⵅⵔ	praise, fumiger
ⴱⵅⵉⵏ	be black
ⴱⵅⵙ	be punctuated
ⴱⵇⴱⵇ	Glouglou, gargarize
ⴱⵇⵇⴰ	to reproach
ⴱⵇⵇⴰ	to frisk
ⴱⵇⵇⴹ	dirty
ⴱⵇⵇⵍ	slap
ⴱⵇⵇⵔ	prick
ⴱⵉⴹⵕ	limp
ⴱⵊⴱⵊ	inflate
ⴱⵊⴱⵊ	soaked, soaked
ⴱⵊⵊⵇ	be spoiled
ⴱⵊⵊⵇ	open up
ⴱⵊⵖⴹ	Banny, spanking
ⴱⵊⵟⴻⵟ	to balance
ⴱⵍⴱⴹ	Shout, vociferate, howl
ⴱⵍⴱⴹ	swarm
ⴱⵍⴱⵍ	bleat
ⴱⵍⴱⵍ	to scream loudly
ⴱⵍⵇⵣ	Divague, delirious
ⴱⵍⵍⴳ	look wide open
ⴱⵍⵓ	fiddle
ⴱⵍⵓⵍⵍⵙ	be fertile
ⴱⵍⵓⵍⵓ	sink
ⴱⵍⵓⵍⵖ	ride (eyes)
ⴱⵏⴰ	build, build
ⴱⵏⴱⵏ	buzz
ⴱⵏⴱⵏ	whistle in the air (projectile)
ⴱⵏⴷ	be neglected, neglected
ⴱⵏⴷⵇ	greet by bowing
ⴱⵏⵏⴷ	stand up, stand straight, stand up
ⴱⵏⵏⵊ	anesthetize
ⴱⵏⵏⵊ	be anesthetized
ⴱⵏⵏⵕ	Coit, fornicate
ⴱⵏⵏⵣ	Boycotter (neo.)
ⴱⵏⵏⵣ	ignore someone
ⴱⵏⵓ	build, build
ⴱⵏⵟⵕ	be haughty
ⴱⵏⵟⵕ	be obese
ⴱⵏⵟⵕ	be swollen, swollen
ⴱⵏⵥⵕ	Having your head, to whiten
ⴱⵓⴱⴱⴰ	back on the back
ⴱⵓⴱⴱⴰ	support
ⴱⵓⴽⴹ	be blind, be reached of blindness
ⴱⵓⵀⵉⵜ	Living alone, living withdrawn
ⴱⵓⵀⵉⵜ	be wild
ⴱⵓⵀⵏ	Cooking a meat or butter dish
ⴱⵓⵃ	stink
ⴱⵓⵄ	crawl
ⴱⵓⵅ	spit
ⴱⵓⵅⵙⵉ	go out
ⴱⵓⵅⵙⵉ	suffocate
ⴱⵓⵇⵉ	spurt
ⴱⵓⵊⵊⵄ	Extend (Péj.)
ⴱⵓⵍⵍⵄ	be impaired, soft, flask
ⴱⵓⵍⵍⵄ	stain
ⴱⵓⵏⴰ	be good
ⴱⵓⵔ	Stay fallow (earth), be non -irrigable
ⴱⵓⵔ	go beyond marriage
ⴱⵓⵔⵔⵏ	become wild
ⴱⵓⵔⵛ	have goosebumps
ⴱⵓⵔⵣ	be proud, be honorable
ⴱⵓⵕⴹ	moldy
ⴱⵓⵖⵍⵓ	be full of
ⴱⵓⵛⵛⵅ	have blisters, bulbs
ⴱⵓⵟⵟⵃ	Extend to his ease (Péj.)
ⴱⵓⵢⴷⴰ	eat with satiety
ⴱⵓⵥⵥⵍ	lie down, spread out
ⴱⵔⴱⵃ	be black
ⴱⵔⴱⵃ	darken (time)
ⴱⵔⴱⵃ	darllash
ⴱⵔⴱⵔ	Larmoyer (eyes)
ⴱⵔⴱⵛ	be spotted
ⴱⵔⴳⵎ	mumble
ⴱⵔⴽⵏ	be black, blacken (intr.)
ⴱⵔⵉ	bruise
ⴱⵔⵉ	grind, be crushed
ⴱⵔⵉⵅⵙⵉ	suffocate, choke
ⴱⵔⵏⵛ	fallow land
ⴱⵔⵓⵅⵙⵉ	vacillating (light)
ⴱⵔⵓⵔⵉ	lump
ⴱⵔⵔⴰ	Release his responsibility, deny
ⴱⵔⵔⵃ	make the public auction
ⴱⵔⵔⵇ	get angry
ⴱⵔⵔⵎ	Drill with a twist, twist
ⴱⵔⵔⵎ	to bite
ⴱⵔⵔⵏ	show
ⴱⵔⵔⵣ	horn
ⴱⵔⵖⵣ	to joke
ⴱⵔⵛ	injure
ⴱⵔⵛ	pound, torture
ⴱⵔⵛⵎ	Shall, natale
ⴱⵔⵡⵉ	Be soiled, polluted (water)
ⴱⵔⵣ	plunder
ⴱⵔⵣ	raid
ⴱⵕⴹ	defecate
ⴱⵕⴽⵉⴽⴽⴹ	Shake its paws (stupid) convulsively
ⴱⵕⵎ	Turillating (tr.), Twisting, twisted
ⴱⵕⵕⵎ	Turn, turn back, look back
ⴱⵕⵕⵎ	change direction, turn back
ⴱⵕⵡ	be polluted (water)
ⴱⵖⴱⵖ	Fill, be filled to the brim
ⴱⵖⴱⵖ	beard supplied
ⴱⵖⵎ	coo
ⴱⵙⵉ	scanned
ⴱⵙⵉⵙⵙⵇ	shine
ⴱⵙⵍ	be tasteless
ⴱⵙⵍ	be unpleasant, be annoying
ⴱⵛⵛⴻⵛ	urinate
ⴱⵛⵛⵖ	be covered with pustules
ⴱⵜⵀⵍ	rave
ⴱⵟⵟⵏ	double
ⴱⵡⵡⵄ	To vomit
ⴱⵣⴱⵣ	swarm (be covered with tingling), be numb
ⴱⵣⴳ	be swollen
ⴱⵣⴳ	be wet
ⴱⵣⵍ	pour out
ⴱⵣⵔ	plume
ⴱⵣⵔ	contribute, contribute
ⴱⵥⴹ	urinate
ⴱⵥⵓⵥⵉ	be swollen
ⴱⵥⵥⵄ	liquor (liquid)
ⴱⵥⵥⵄ	spread
ⴱⵥⵥⵄ	spurt
ⴱⵥⵥⵕ	din
ⴱⵥⵥⵕ	disorder
ⴳ	constitute, to be, to become
ⴳ	do, commit, put, place, ask
ⴳⴰⵡⵔ	Stay, stay
ⴳⴰⵡⵔ	sit
ⴳⴱⵓ	be gone
ⴳⴱⵓ	pierce, pierce, pierce
ⴳⴱⵔ	mediate
ⴳⴱⵥ	squeeze
ⴳⴳⴰⴷⵊ	to relocate
ⴳⴳⴰⴼⵉ	Climb, climb, go up
ⴳⴳⴰⴼⵉ	run along
ⴳⴳⴰⵍⵍ	swear, take oath
ⴳⴳⴰⵎⵉ	can not
ⴳⴳⴰⵏⵉ	wait, wait
ⴳⴳⴻⴳ	thunder
ⴳⴳⵉⵥⵥ	bow, be unbalanced
ⴳⴳⵏⵙⵔ	rush
ⴳⴳⵏⵙⵔ	tumble
ⴳⴳⵓⴳ	go away
ⴳⴳⵓⴷⵉ	be abundant
ⴳⴳⵓⴷⵉ	be in a heap, pile up
ⴳⴳⵓⴼⴼⵓ	be stupid
ⴳⴳⵓⵊ	decamper, move
ⴳⴳⵓⵏⵣⵔ	nose bleed
ⴳⴳⵓⵕⴹⵎ	fracture
ⴳⴳⵔ	to touch
ⴳⴳⵔⵓ	Arrive (event), happen
ⴳⴳⵔⵓ	be late, stay back, be the last
ⴳⴳⵙ	toast, roast, roast
ⴳⴳⵯ	Wash the laundry by rubbing
ⴳⴳⵯ	knead
ⴳⴳⵯⴷ	be afraid
ⴳⴳⵯⵉ	spur
ⴳⴳⵯⵉ	to touch
ⴳⴳⵯⵊ	be far away
ⴳⴳⵯⵍⴼⴹ	throw down
ⴳⴳⵯⵣ	to come down
ⴳⴷⵓⴷ	Gather, group together
ⴳⴹ	swallow, strangle while swallowing
ⴳⴹⵍ	be on the point of going to bed (the sun)
ⴳⴹⵎ	to divide in two
ⴳⴼⴼⴹ	roll up their sleeves
ⴳⵃⴹ	be dry
ⴳⵄⵄⴷ	ascend
ⴳⵄⵄⴷ	raise
ⴳⵄⵄⴷ	rise
ⴳⵉⴷⴷⵉ	be equal
ⴳⵉⴷⴷⵉ	be flat, dish
ⴳⵉⵜⵉ	be planted
ⴳⵊⴳⵊ	Group, group around something
ⴳⵍ	be backfilled
ⴳⵍ	leave
ⴳⵍⴼ	be stingy
ⴳⵍⵉ	DELIVE, BORNER
ⴳⵍⵉ	conduct
ⴳⵍⵎ	describe
ⴳⵍⵎ	Stagner (liquid), form a tablecloth
ⴳⵍⵎ	be blunt
ⴳⵍⵓⴳⵍ	stagnate
ⴳⵎ	growing up
ⴳⵎ	to be raised
ⴳⵎ	to push
ⴳⵎⵉ	look for
ⴳⵎⵎⴹ	swaddle
ⴳⵎⵎⵏ	Arrange the land into squares
ⴳⵎⵔ	hunt (hunting)
ⴳⵎⵔ	to fish
ⴳⵏ	lengthen
ⴳⵏ	sleep, go to bed
ⴳⵏⴷ	to be mean
ⴳⵏⴼⴰ	to be cured
ⴳⵏⵏⴼ	punch or head on the nose
ⴳⵏⵓ	to sew
ⴳⵏⵓⴳⵢ	dash
ⴳⵏⵓⴳⵢ	fall, fall
ⴳⵓⴳ	handle
ⴳⵓⴳⴳⵓ	be smoked
ⴳⵓⴹⵉ	thank
ⴳⵓⴼ	to fail
ⴳⵓⴼⵙⵓ	to rot
ⴳⵓⵊⵍ	orphan
ⴳⵓⵍⵓ	reach, reach
ⴳⵓⵏⴷⵓ	be wet
ⴳⵓⵔⵣⵓ	be a hole
ⴳⵓⵙⵎⵓ	have an indigestion
ⴳⵓⵛⵛⵔ	to be sad
ⴳⵔ	ascend
ⴳⵔ	take, reach
ⴳⵔ	throw away
ⴳⵔ	to place
ⴳⵔ	weave
ⴳⵔⴰⵡⵍ	change their opinion, change your mind
ⴳⵔⴰⵡⵍ	turn on
ⴳⵔⴷ	be tamed
ⴳⵔⴷⵖ	rip
ⴳⵔⵉⴳⵔⵜ	be leveled, flattened, horizontal
ⴳⵔⵉⵔⴱ	to roll
ⴳⵔⵉⵡⵍ	change their opinion, change your mind
ⴳⵔⵉⵡⵍ	turn on
ⴳⵔⵓ	glean
ⴳⵔⵓ	pick up
ⴳⵔⵓ	reunite
ⴳⵔⵓⵔⵙ	grind
ⴳⵔⵓⵔⵙ	shiver
ⴳⵔⵔⵄ	burp
ⴳⵔⵔⵄ	expand
ⴳⵔⵔⵊ	cut out, shave
ⴳⵔⵙ	freeze, freeze
ⴳⵔⵙ	winter
ⴳⵡⴰ	to be tired
ⴳⵡⴹ	set foot on the feet, trample
ⴳⵣⴰ	represent
ⴳⵣⵉ	vaccinate
ⴳⵣⵉⵍ	be short
ⴳⵣⵎ	hurt
ⴳⵣⵎ	to cut
ⴳⵣⵣⵏ	charlatanism
ⴳⵯⴱⵉ	to bite
ⴳⵯⴷⵎ	tip
ⴳⵯⵉ	shake someone to wake them up
ⴳⵯⵉ	sting, spur
ⴳⵯⵎⵉ	to spell
ⴳⵯⵎⵎ	sip
ⴳⵯⵔⴷ	be tamed, tamed
ⴷⴰⴷⴰ	be covered with pimples
ⴷⴰⴷⵔ	Drinking with one stroke, drinking with big sips, Lamper
ⴷⴰⵃⵔ	getting into it, trying to learn
ⴷⴰⵡⴰ	cure
ⴷⴱⴱⴻⴱ	be content with little
ⴷⴱⴱⵏ	mend, repair
ⴷⴳⴳⵔ	Packing, giving in a pledge
ⴷⴳⴷⴳ	crush
ⴷⴳⴷⴳ	grind
ⴷⴳⴷⴳ	to crush
ⴷⴳⵯⵙ	start of surprise or fear
ⴷⴷⴰⵔⵜ	be fat
ⴷⴷⴳ	launch (a lance)
ⴷⴷⴻⴷ	sweat, sweat
ⴷⴷⵎ	sting (thorn)
ⴷⴷⵎ	to bite
ⴷⴷⵎ	dip
ⴷⴷⵎ	drip
ⴷⴷⵎ	rush in
ⴷⴷⵓ	go, go
ⴷⴷⵓⴽⴽⵍ	have a love relationship
ⴷⴷⵓⴽⴽⵍ	to develop a friendship
ⴷⴷⵓⵀⵛⵔ	deaf
ⴷⴷⵓⵅⵛⵎ	enlist
ⴷⴷⵓⵇⵇⵔ	be silly
ⴷⴷⵓⵎⵙⵍ	Be soiled or smeared with fatty substance
ⴷⴷⵔ	live, being alive
ⴷⴷⵔⴼ	hurry up
ⴷⴷⵔⴼⵉ	be freed, released
ⴷⴷⵖ	drill
ⴷⴷⵣ	beat, hit
ⴷⴷⵣ	pound
ⴷⴷⵣ	tamp
ⴷⴼⴷⴼ	hand out
ⴷⴼⵙ	pile up
ⴷⴼⵙ	stuff
ⴷⴼⵛ	allude, insinuate
ⴷⴽⵓⵔ	defecate
ⴷⴽⵓⵔ	defile
ⴷⵀⵡⵔ	be dizzy
ⴷⵃⴰ	bake
ⴷⵃⴰ	light the fire
ⴷⵃⴷⵃ	be corpulent
ⴷⵃⵃⵙ	be cramped, be cramped
ⴷⵃⵉ	dismiss
ⴷⵃⵉ	hunt (expel), dismiss
ⴷⵃⵉ	pamper
ⴷⵄⴷⵄ	Fill in excess, bonder, be crowded
ⴷⵄⴷⵄ	be struck down by the disease
ⴷⵄⵇ	overwhelm
ⴷⵄⵍⴳ	speed up
ⴷⵄⵓ	invoke God
ⴷⵄⵓ	to wish
ⴷⵄⵓ	translate to justice
ⴷⵅⵎ	sew, hit
ⴷⵉⴷⴷⵉ	scare
ⴷⵉⵡ	jump, disperse (frightened herd)
ⴷⵉⵡ	wake
ⴷⵊ	leave, abandon
ⴷⵊⵉⵡⵏ	to eat plenty
ⴷⵍ	Covered (bird)
ⴷⵍ	cover, cover, put a blanket
ⴷⵍⵃ	run afterwards
ⴷⵍⵃ	to kick
ⴷⵍⵇⵎ	burn, repress
ⴷⵍⵇⵎ	to comment
ⴷⵍⵍⴻⵍ	auction
ⴷⵍⵢⵇ	Visit Unwelcome, Building
ⴷⵎⵎⴻⵎ	blame
ⴷⵎⵎⴻⵎ	implore, beg
ⴷⵎⵎⵔ	Make a little one from his mother (animal)
ⴷⵎⵔ	jam, push
ⴷⵎⵖ	Controller, murdered
ⴷⵎⵖ	stupefy
ⴷⵎⵙ	save
ⴷⵏⴷⵏ	hum, singing
ⴷⵏⴷⵏ	resound
ⴷⵏⴷⵏ	scratching lute strings
ⴷⵏⵏⴽ	go east
ⴷⵏⵓⵏⵙ	to be dirty
ⴷⵓⴽⴽⵉ	flee, start to run
ⴷⵓⴽⴽⵔ	come back, turn around, turn around
ⴷⵓⵀⴷⵓ	take drugs
ⴷⵓⵎ	last, continue
ⴷⵓⵔⴷⵓ	be greedy
ⴷⵓⵔⵔⵉ	disappear, shirk
ⴷⵓⵙ	be strong, healthy
ⴷⵓⵛⵛⴰ	kneel
ⴷⵓⵢ	start, jump
ⴷⵓⵢ	wake
ⴷⵔ	ride a rope
ⴷⵔⴱⴳ	be dizzy
ⴷⵔⴷⵎ	stumble
ⴷⵔⴷⵔ	sprinkle
ⴷⵔⴽ	be able to be strong
ⴷⵔⵉ	abort
ⴷⵔⵉⵔⴰ	be put in order
ⴷⵔⵉⵔⴰ	be untied, disentangled, dismissed
ⴷⵔⵎⵍ	have a blindness
ⴷⵔⵓ	share a meal
ⴷⵔⵓ	to participate
ⴷⵔⵓ	be deep
ⴷⵔⵓⵙ	to be few, not very abundant, to be in small numbers, to be rare
ⴷⵔⵔⵄ	bleat
ⴷⵔⵔⵎ	act without thinking, speak wrongly and through
ⴷⵔⵔⵎ	go for it, rush, shake up
ⴷⵔⵔⵎ	unnecessary
ⴷⵔⵔⵣ	weave
ⴷⵔⵖⵍ	be or become blind, be reached of blindness
ⴷⵔⵙ	align
ⴷⵔⵙ	scroll
ⴷⵔⵣ	to dance
ⴷⵖⴷⵖ	be bruised (person)
ⴷⵖⴷⵖ	be damaged
ⴷⵖⴷⵖ	be flayed
ⴷⵖⵉⵖⵉ	be anxious, anxious
ⴷⵖⵉⵖⵉ	look for
ⴷⵖⵉⵖⵉ	rummage with anxiety, search with frenzy
ⴷⵖⵍ	be frelated
ⴷⵖⵍ	be unhealthy
ⴷⵖⵎⴻⵎ	be blackish, dark, dull (face complexion)
ⴷⵖⵎⵓⵎⵛ	succumb under a weight, be crushed by a force
ⴷⵖⵎⵙ	Board (tooth)
ⴷⵙⵙⴻⵙ	watch, tend a trap
